Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),EL
NC,Charlotte-Mecklenburg Schools,NC,Rocky River High,3.70297E+11,2015,Total enrollment,F,2,23,0,230,446,59,23,783,58,8,59
NC,Charlotte-Mecklenburg Schools,NC,William Amos Hough High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,2,11,2,26,20,170,5,236,38,8,5
NC,Charlotte-Mecklenburg Schools,NC,William Amos Hough High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,2,2,0,23,23,197,5,252,23,8,8
NC,Charlotte-Mecklenburg Schools,NC,William Amos Hough High,3.70297E+11,2015,Total enrollment,M,5,38,5,101,137,965,32,1283,148,56,35
NC,Charlotte-Mecklenburg Schools,NC,William Amos Hough High,3.70297E+11,2015,Total enrollment,F,8,29,0,98,140,1001,26,1302,79,38,17
NC,Charlotte-Mecklenburg Schools,NC,Garinger High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,2,23,0,194,215,14,5,453,77,5,119
NC,Charlotte-Mecklenburg Schools,NC,Garinger High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,2,14,2,164,173,20,11,386,35,2,77
NC,Charlotte-Mecklenburg Schools,NC,Garinger High,3.70297E+11,2015,Total enrollment,M,5,62,0,401,479,32,17,996,154,11,260
NC,Charlotte-Mecklenburg Schools,NC,Garinger High,3.70297E+11,2015,Total enrollment,F,2,59,2,356,428,29,14,890,73,5,188
NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,2,10,-,35,301,10,10,368,75,6,25
NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,3,1,-,30,240,1,9,284,26,4,10
NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,8,-,74,175,26,10,293,40,3,26
NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,9,-,73,156,17,9,264,13,4,32
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,-,-,1,37,4,4,46,42,-,1
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,-,-,1,17,4,1,23,22,-,-
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,2,11,-,14,12,102,3,144,22,5,10
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,1,10,1,27,9,112,3,163,17,14,5
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,-,-,3,7,1,-,11,-,1,2
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,-,-,11,22,7,1,41,2,1,2
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,5,-,56,58,56,5,180,21,4,23
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,1,5,-,37,51,41,10,145,16,2,9
NC,Charlotte-Mecklenburg Schools,NC,Vance High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,1,5,-,141,219,16,13,395,56,4,60
NC,Charlotte-Mecklenburg Schools,NC,Vance High,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,10,1,148,191,21,8,379,32,3,54
NC,Charlotte-Mecklenburg Schools,NC,Hopewell High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,2,3,-,44,101,40,9,199,41,5,13
NC,Charlotte-Mecklenburg Schools,NC,Hopewell High,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,3,2,-,49,106,48,12,220,29,5,15
NC,Charlotte-Mecklenburg Schools,NC,Phillip O Berry Academy of Technology,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,-,-,15,51,2,6,74,8,4,4
NC,Charlotte-Mecklenburg Schools,NC,Phillip O Berry Academy of Technology,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,3,-,18,64,4,4,93,6,2,2
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,10,-,20,226,38,7,301,52,11,12
